account,transaction_date,action,symbol,description,quantity,price,fees,amount
Schwab Account,,Other,,,0,,,893.33
Schwab Account,,Other,,,0,,,-7610.94
Schwab Account,,Other,,,0,,,101.69
Schwab Account,,Other,,,0,,,3113.27
Schwab Account,,Other,,,0,,,-4593.97
Schwab Account,,Other,,,0,,,12434.34
Schwab Account,,Other,,,0,,,-5003.3
Schwab Account,,Other,,,0,,,5383.21
Schwab Account,,Other,,,0,,,33.36
Schwab Account,,Other,,,0,,,1129.31
Schwab Account,,Other,,,0,,,-8845.29
Schwab Account,,Other,,,0,,,4581.22
Schwab Account,,Other,,,0,,,-2066.61
Schwab Account,,Other,,,0,,,-3046.61
Schwab Account,,Other,,,0,,,-3033.05
Schwab Account,,Other,,,0,,,3808.3
Schwab Account,,Other,,,0,,,-7682.0
Schwab Account,,Other,,,0,,,7981.98
Schwab Account,,Other,,,0,,,506.67
Schwab Account,,Other,,,0,,,-765.66
Schwab Account,,Other,,,0,,,-3713.59
Schwab Account,,Other,,,0,,,-1938.31
Schwab Account,,Other,,,0,,,-3427.93
Schwab Account,,Other,,,0,,,-388.66
Schwab Account,,Other,,,0,,,50.04
Schwab Account,,Other,,,0,,,46.71
Schwab Account,,Other,,,0,,,53.37
Schwab Account,,Other,,,0,,,30.02
Schwab Account,,Other,,,0,,,6.67
Schwab Account,,Other,,,0,,,654.35
Schwab Account,,Other,,,0,,,-1162.98
Schwab Account,,Other,,,0,,,148.66
Schwab Account,,Other,,,0,,,27.39
Schwab Account,,Other,,,0,,,-19710.0
Schwab Account,,Other,,,0,,,473.35
Schwab Account,,Other,,,0,,,-117.97
Schwab Account,,Other,,,0,,,-137.62
Schwab Account,,Other,,,0,,,32381.88
Schwab Account,,Other,,,0,,,-25335.4
Schwab Account,,Other,,,0,,,761.67
Schwab Account,,Other,,,0,,,74.34
Schwab Account,,Other,,,0,,,890.02
Schwab Account,,Other,,,0,,,-45.16
Schwab Account,10/28/2024,Other,,,0,,,-15000.0
Schwab Account,10/28/2024,Other,,,0,,,14999.95
Schwab Account,,Other,,,0,,,133.01
Schwab Account,,Other,,,0,,,2633.54
Schwab Account,,Other,,,0,,,172.01
Schwab Account,,Other,,,0,,,-9.03
Schwab Account,,Other,,,0,,,-1094.64
Schwab Account,,Other,,,0,,,-1641.97
Schwab Account,,Other,,,0,,,-1280.66
Schwab Account,,Other,,,0,,,11091.67
Schwab Account,,Other,,,0,,,-4599.66
Schwab Account,,Other,,,0,,,489.33
Schwab Account,,Other,,,0,,,97.01
Schwab Account,10/21/2024,Other,,,0,,,7649.74
Schwab Account,,Other,,,0,,,-28623.98
Schwab Account,,Other,,,0,,,466.0
Schwab Account,,Other,,,0,,,-6595.5
Schwab Account,10/28/2024,Other,,,0,,,15000.0
Schwab Account,,Other,,,0,,,-2266.1
Schwab Account,,Other,,,0,,,-6141.52
Schwab Account,,Other,,,0,,,7669.84
Schwab Account,,Other,,,0,,,-421.32
Schwab Account,,Other,,,0,,,-210.66
Schwab Account,,Other,,,0,,,-2527.93
Schwab Account,,Other,,,0,,,-5306.61
Schwab Account,,Other,,,0,,,2736.0
Schwab Account,,Other,,,0,,,785.03
Schwab Account,,Other,,,0,,,1518.63
Schwab Account,,Other,,,0,,,1518.61
Schwab Account,,Other,,,0,,,3186.63
Schwab Account,,Other,,,0,,,1824.0
Schwab Account,,Other,,,0,,,-49.66
Schwab Account,,Other,,,0,,,200.16
Schwab Account,,Other,,,0,,,-8574.0
Schwab Account,,Other,,,0,,,214.0
Schwab Account,,Other,,,0,,,1518.64
Schwab Account,,Other,,,0,,,-892.59
Schwab Account,,Other,,,0,,,-703.3
Schwab Account,,Other,,,0,,,-703.31
Schwab Account,,Other,,,0,,,89.34
Schwab Account,,Other,,,0,,,-4.01
Schwab Account,,Other,,,0,,,-879.32
Schwab Account,,Other,,,0,,,430.67
Schwab Account,,Other,,,0,,,181.34
Schwab Account,,Other,,,0,,,29.34
Schwab Account,,Other,,,0,,,15.34
Schwab Account,,Other,,,0,,,-24.66
Schwab Account,02/20/2026,Other,,,0,,,13499.98
Schwab Account,,Other,,,0,,,124.34
Schwab Account,,Other,,,0,,,1644.67
Schwab Account,,Other,,,0,,,-6900.0
Schwab Account,,Other,,,0,,,138.34
Schwab Account,04/06/2026,Other,,,0,,,-7799.98
Schwab Account,,Other,,,0,,,309.34
Schwab Account,,Other,,,0,,,-2041.32
Schwab Account,,Other,,,0,,,4793.35
Schwab Account,,Other,,,0,,,-2456.62
Schwab Account,,Other,,,0,,,175.34
Schwab Account,,Other,,,0,,,-1320.66
Schwab Account,,Other,,,0,,,-4470.66
Schwab Account,,Other,,,0,,,-532.94
Schwab Account,,Other,,,0,,,55.34
Schwab Account,,Other,,,0,,,-13555.5
Schwab Account,,Other,,,0,,,132.34
Schwab Account,,Other,,,0,,,132.33
Schwab Account,,Other,,,0,,,258.67
Schwab Account,,Other,,,0,,,9404.03
Schwab Account,,Other,,,0,,,395.34
Schwab Account,,Other,,,0,,,418.67
Schwab Account,,Other,,,0,,,107.34
Schwab Account,,Other,,,0,,,167.34
Schwab Account,,Other,,,0,,,-2296.8
Schwab Account,03/11/2026,Other,,,0,,,7749.98
Schwab Account,,Other,,,0,,,-5623.2
Schwab Account,,Other,,,0,,,-9855.0
Schwab Account,,Other,,,0,,,6.68
Schwab Account,,Other,,,0,,,191.34
Schwab Account,,Other,,,0,,,180.34
Schwab Account,,Other,,,0,,,-23040.0
Schwab Account,,Other,,,0,,,-399.32
Schwab Account,,Other,,,0,,,425.04
Schwab Account,11/25/2024,Other,,,0,,,8699.71
Schwab Account,,Other,,,0,,,23030.41
Schwab Account,,Other,,,0,,,-998.3
Schwab Account,,Other,,,0,,,-3593.9
Schwab Account,,Other,,,0,,,-1996.61
Schwab Account,,Other,,,0,,,-3306.61
Schwab Account,,Other,,,0,,,-998.31
Schwab Account,,Other,,,0,,,5233.26
Schwab Account,,Other,,,0,,,-991.98
Schwab Account,,Other,,,0,,,-2645.29
Schwab Account,,Other,,,0,,,761.65
Schwab Account,,Other,,,0,,,-330.66
Schwab Account,04/06/2026,Other,,,0,,,14599.68
Schwab Account,04/06/2026,Other,,,0,,,7799.82
Schwab Account,04/06/2026,Other,,,0,,,6299.85
Schwab Account,,Other,,,0,,,-444.63
Schwab Account,,Other,,,0,,,127.34
Schwab Account,,Other,,,0,,,75.34
Schwab Account,,Other,,,0,,,82.34
Schwab Account,04/02/2026,Other,,,0,,,14599.98
Schwab Account,04/02/2026,Other,,,0,,,7799.98
Schwab Account,04/02/2026,Other,,,0,,,6299.98
Schwab Account,,Other,,,0,,,174.34
Schwab Account,,Other,,,0,,,134.34
Schwab Account,04/06/2026,Other,,,0,,,-14599.98
Schwab Account,,Other,,,0,,,-1531.32
Schwab Account,04/06/2026,Other,,,0,,,-6299.98
Schwab Account,,Other,,,0,,,183.32
Schwab Account,,Other,,,0,,,183.34
Schwab Account,,Other,,,0,,,-4890.93
Schwab Account,,Other,,,0,,,-3858.66
Schwab Account,,Other,,,0,,,-9337.23
Schwab Account,,Other,,,0,,,-148.21
Schwab Account,,Other,,,0,,,1416.31
Schwab Account,,Other,,,0,,,-1460.63
Schwab Account,,Other,,,0,,,1618.66
Schwab Account,,Other,,,0,,,77.34
Schwab Account,01/23/2024,Other,,,0,,,7999.92
Schwab Account,,Other,,,0,,,589.3
Schwab Account,,Other,,,0,,,173.34
Schwab Account,,Other,,,0,,,-382.64
Schwab Account,,Other,,,0,,,130.01
Schwab Account,,Other,,,0,,,-95.66
Schwab Account,,Other,,,0,,,-4304.75
Schwab Account,,Other,,,0,,,-8773.0
Schwab Account,,Other,,,0,,,386.34
Schwab Account,,Other,,,0,,,477.35
Schwab Account,,Other,,,0,,,-3196.98
Schwab Account,,Other,,,0,,,-1773.0
Schwab Account,,Other,,,0,,,-471.32
Schwab Account,,Other,,,0,,,52.33
Schwab Account,,Other,,,0,,,10071.61
Schwab Account,,Other,,,0,,,277.35
Schwab Account,,Other,,,0,,,-6803.3
Schwab Account,,Other,,,0,,,-13288.0
Schwab Account,,Other,,,0,,,606.65
Schwab Account,,Other,,,0,,,-1838.3
Schwab Account,,Other,,,0,,,144.34
Schwab Account,,Other,,,0,,,-143.66
Schwab Account,,Other,,,0,,,7722.77
Schwab Account,,Other,,,0,,,-951.32
Schwab Account,,Other,,,0,,,-5122.27
Schwab Account,,Other,,,0,,,-1178.31
Schwab Account,02/21/2024,Other,,,0,,,1499.97
Schwab Account,,Other,,,0,,,589.32
Schwab Account,,Other,,,0,,,589.31
Schwab Account,,Other,,,0,,,-4001.32
Schwab Account,,Other,,,0,,,-331.32
Schwab Account,02/21/2024,Other,,,0,,,10799.84
Schwab Account,,Other,,,0,,,959.95
Schwab Account,,Other,,,0,,,189.35
Schwab Account,,Other,,,0,,,589.33
Schwab Account,,Other,,,0,,,289.33
Schwab Account,,Other,,,0,,,-235.66
Schwab Account,,Other,,,0,,,2946.61
Schwab Account,,Other,,,0,,,2963.28
Schwab Account,,Other,,,0,,,-575.66
Schwab Account,,Other,,,0,,,4135.89
Schwab Account,,Other,,,0,,,13097.04
Schwab Account,,Other,,,0,,,-5182.59
Schwab Account,,Other,,,0,,,6267.87
Schwab Account,,Other,,,0,,,-10361.9
Schwab Account,,Other,,,0,,,1953.31
Schwab Account,,Other,,,0,,,-4313.22
Schwab Account,,Other,,,0,,,-646.98
Schwab Account,,Other,,,0,,,-2803.6
Schwab Account,,Other,,,0,,,-1940.94
Schwab Account,,Other,,,0,,,-2136.61
Schwab Account,,Other,,,0,,,1150.06
Schwab Account,,Other,,,0,,,766.7
Schwab Account,,Other,,,0,,,-2410.98
Schwab Account,,Other,,,0,,,3747.94
Schwab Account,,Other,,,0,,,1636.63
Schwab Account,,Other,,,0,,,1636.64
Schwab Account,,Other,,,0,,,104.67
Schwab Account,,Other,,,0,,,52.34
Schwab Account,,Other,,,0,,,-2728.66
Schwab Account,,Other,,,0,,,-1703.3
Schwab Account,,Other,,,0,,,-871.32
Schwab Account,,Other,,,0,,,-610.66
Schwab Account,,Other,,,0,,,-802.66
Schwab Account,,Other,,,0,,,67.34
Schwab Account,,Other,,,0,,,-802.67
Schwab Account,,Other,,,0,,,-803.66
Schwab Account,,Other,,,0,,,-42.64
Schwab Account,,Other,,,0,,,8369.7
Schwab Account,,Other,,,0,,,-1685.32
Schwab Account,,Other,,,0,,,700.32
Schwab Account,,Other,,,0,,,234.68
Schwab Account,,Other,,,0,,,146.68
Schwab Account,,Other,,,0,,,-1607.32
Schwab Account,,Other,,,0,,,-490.66
Schwab Account,,Other,,,0,,,21.69
Schwab Account,,Other,,,0,,,97.34
Schwab Account,,Other,,,0,,,-203.3
Schwab Account,,Other,,,0,,,3439.95
Schwab Account,,Other,,,0,,,15662.43
Schwab Account,,Other,,,0,,,15432.09
Schwab Account,,Other,,,0,,,-26775.0
Schwab Account,,Other,,,0,,,-2975.0
Schwab Account,,Other,,,0,,,-325.29
Schwab Account,,Other,,,0,,,193.0
Schwab Account,,Other,,,0,,,-3373.08
Schwab Account,,Other,,,0,,,2164.98
Schwab Account,,Other,,,0,,,145.34
Schwab Account,,Other,,,0,,,3463.97
Schwab Account,,Other,,,0,,,8515.6
Schwab Account,,Other,,,0,,,145.33
Schwab Account,,Other,,,0,,,721.66
Schwab Account,,Other,,,0,,,-894.54
Schwab Account,,Other,,,0,,,-162.64
Schwab Account,,Other,,,0,,,-203.31
Schwab Account,,Other,,,0,,,-40.66
Schwab Account,,Other,,,0,,,-1669.28
Schwab Account,,Other,,,0,,,-2949.25
Schwab Account,01/27/2025,Other,,,0,,,34500.0
Schwab Account,01/27/2025,Other,,,0,,,-34500.0
Schwab Account,,Other,,,0,,,322.0
Schwab Account,01/27/2025,Other,,,0,,,34499.75
Schwab Account,,Other,,,0,,,-9790.0
Schwab Account,,Other,,,0,,,5773.29
Schwab Account,,Other,,,0,,,36.34
Schwab Account,,Other,,,0,,,-15693.0
Schwab Account,,Other,,,0,,,163.01
Schwab Account,,Other,,,0,,,-689.95
Schwab Account,,Other,,,0,,,-76.66
Schwab Account,,Other,,,0,,,-2759.8
Schwab Account,,Other,,,0,,,-121.99
Schwab Account,,Other,,,0,,,-3984.78
Schwab Account,,Other,,,0,,,6813.17
Schwab Account,,Other,,,0,,,-2178.3
Schwab Account,,Other,,,0,,,-595.93
Schwab Account,,Other,,,0,,,-1489.83
Schwab Account,,Other,,,0,,,2996.61
Schwab Account,,Other,,,0,,,3595.91
Schwab Account,,Other,,,0,,,1797.96
Schwab Account,,Other,,,0,,,1797.95
Schwab Account,,Other,,,0,,,1198.64
Schwab Account,,Other,,,0,,,599.32
Schwab Account,,Other,,,0,,,169.35
Schwab Account,,Other,,,0,,,555.33
Schwab Account,,Other,,,0,,,-12.04
Schwab Account,,Other,,,0,,,445.34
Schwab Account,,Other,,,0,,,3386.6
Schwab Account,,Other,,,0,,,-7713.22
Schwab Account,,Other,,,0,,,-4293.22
Schwab Account,,Other,,,0,,,3626.62
Schwab Account,,Other,,,0,,,573.32
Schwab Account,,Other,,,0,,,-2926.98
Schwab Account,,Other,,,0,,,-3925.29
Schwab Account,,Other,,,0,,,-5706.61
Schwab Account,,Other,,,0,,,555.31
Schwab Account,,Other,,,0,,,539.31
Schwab Account,,Other,,,0,,,-297.97
Schwab Account,,Other,,,0,,,-695.25
Schwab Account,,Other,,,0,,,-893.9
Schwab Account,,Other,,,0,,,-2234.74
Schwab Account,,Other,,,0,,,-1142.21
Schwab Account,,Other,,,0,,,-421.66
Schwab Account,,Other,,,0,,,-2527.98
Schwab Account,,Other,,,0,,,1114.65
Schwab Account,,Other,,,0,,,-1742.65
Schwab Account,,Other,,,0,,,309.33
Schwab Account,,Other,,,0,,,690.65
Schwab Account,,Other,,,0,,,1509.97
Schwab Account,,Other,,,0,,,1006.65
Schwab Account,,Other,,,0,,,1617.96
Schwab Account,,Other,,,0,,,539.33
Schwab Account,,Other,,,0,,,539.32
Schwab Account,,Other,,,0,,,-5457.32
Schwab Account,,Other,,,0,,,-3364.39
